Date,Open,High,Low,Close,Adj Close,Volume
1/11/2019,152.880005,153.699997,151.509995,152.289993,150.035706,27023200
1/14/2019,150.850006,151.270004,149.220001,150,147.779602,32439200
1/15/2019,150.270004,153.389999,150.050003,153.070007,150.804169,28710900
1/16/2019,153.080002,155.880005,153,154.940002,152.646484,30569700
1/17/2019,154.199997,157.660004,153.259995,155.860001,153.552872,29821200
1/18/2019,157.5,157.880005,155.979996,156.820007,154.498657,33751000
1/22/2019,156.410004,156.729996,152.619995,153.300003,151.030777,30394000
1/23/2019,154.149994,155.139999,151.699997,153.919998,151.641586,23130600
1/24/2019,154.110001,154.479996,151.740005,152.699997,150.439636,25441500
1/25/2019,155.479996,158.130005,154.320007,157.759995,155.424744,33535500
1/28/2019,155.789993,156.330002,153.660004,156.300003,153.986359,26192100
1/29/2019,156.25,158.130005,154.110001,154.679993,152.39032,41587200
1/30/2019,163.25,166.149994,160.229996,165.25,162.803864,61109800
1/31/2019,166.110001,169,164.559998,166.440002,163.976242,40739600
2/1/2019,166.960007,168.979996,165.929993,166.520004,164.055069,32668100
2/4/2019,167.410004,171.660004,167.279999,171.25,168.715042,31495500
2/5/2019,172.860001,175.080002,172.350006,174.179993,171.601685,36101600
2/6/2019,174.649994,175.570007,172.850006,174.240005,171.660797,28239600
2/7/2019,172.399994,173.940002,170.339996,170.940002,168.409653,31741700
2/8/2019,168.990005,170.660004,168.419998,170.410004,168.607529,23820000
2/11/2019,171.050003,171.210007,169.25,169.429993,167.637878,20993400
2/12/2019,170.100006,171,169.699997,170.889999,169.082443,22283500
2/13/2019,171.389999,172.479996,169.919998,170.179993,168.379944,22490200
2/14/2019,169.710007,171.259995,169.380005,170.800003,168.993408,21835700
2/15/2019,171.25,171.699997,169.75,170.419998,168.617432,24626800
2/19/2019,169.710007,171.440002,169.490005,170.929993,169.122009,18972800
2/20/2019,171.190002,173.320007,170.990005,172.029999,170.210388,26114400
2/21/2019,171.800003,172.369995,170.300003,171.059998,169.250656,17249700
2/22/2019,171.580002,173,171.380005,172.970001,171.140442,18913200
2/25/2019,174.160004,175.869995,173.949997,174.229996,172.387115,21873400
2/26/2019,173.710007,175.300003,173.169998,174.330002,172.486053,17070200
2/27/2019,173.210007,175,172.729996,174.869995,173.02034,27835400
2/28/2019,174.320007,174.910004,172.919998,173.149994,171.318542,28215400
3/1/2019,174.279999,175.149994,172.889999,174.970001,173.119278,25886200
3/4/2019,175.690002,177.75,173.970001,175.850006,173.98999,27436200
3/5/2019,175.940002,176,174.539993,175.529999,173.67337,19737400
3/6/2019,174.669998,175.490005,173.940002,174.520004,172.674057,20810400
3/7/2019,173.869995,174.440002,172.020004,172.5,170.675415,24796400
3/8/2019,170.320007,173.070007,169.5,172.910004,171.081085,23999400
3/11/2019,175.490005,179.119995,175.350006,178.899994,177.007706,32011000
3/12/2019,180,182.669998,179.369995,180.910004,178.996475,32467600
3/13/2019,182.25,183.300003,180.919998,181.710007,179.787994,31032500
3/14/2019,183.899994,184.100006,182.559998,183.729996,181.786621,23579500
3/15/2019,184.850006,187.330002,183.740005,186.119995,184.151337,39042900
3/18/2019,185.800003,188.389999,185.789993,188.020004,186.031265,26219800
3/19/2019,188.350006,188.990005,185.919998,186.529999,184.557022,31646400
3/20/2019,186.229996,189.490005,184.729996,188.160004,186.169785,31035200
3/21/2019,190.020004,196.330002,189.809998,195.089996,193.026459,51034200
3/22/2019,195.339996,197.690002,190.779999,191.050003,189.029205,42407700
3/25/2019,191.509995,191.979996,186.600006,188.740005,186.743637,43845300
3/26/2019,191.660004,192.880005,184.580002,186.789993,184.814255,49800500
3/27/2019,188.75,189.759995,186.550003,188.470001,186.476486,29848400
3/28/2019,188.949997,189.559998,187.529999,188.720001,186.723846,20780400
3/29/2019,189.830002,190.080002,188.539993,189.949997,187.940842,23564000
4/1/2019,191.639999,191.679993,188.380005,191.240005,189.217209,27862000
4/2/2019,191.089996,194.460007,191.050003,194.020004,191.967804,22765700
4/3/2019,193.25,196.5,193.149994,195.350006,193.283737,23271800
4/4/2019,194.789993,196.369995,193.139999,195.690002,193.620117,19114300
4/5/2019,196.449997,197.100006,195.929993,197,194.91626,18526600
4/8/2019,196.419998,200.229996,196.339996,200.100006,197.983475,25881700
4/9/2019,200.320007,202.850006,199.229996,199.5,197.389832,35768200
4/10/2019,198.679993,200.740005,198.179993,200.619995,198.497971,21695300
4/11/2019,200.850006,201,198.440002,198.949997,196.845642,20900800
4/12/2019,199.199997,200.139999,196.210007,198.869995,196.766495,27760700
4/15/2019,198.580002,199.850006,198.009995,199.229996,197.122681,17536600
4/16/2019,199.460007,201.369995,198.559998,199.25,197.142471,25696400
4/17/2019,199.539993,203.380005,198.610001,203.130005,200.981445,28906800
4/18/2019,203.119995,204.149994,202.520004,203.860001,201.70372,24195800
4/22/2019,202.830002,204.940002,202.339996,204.529999,202.366638,19439500
4/23/2019,204.429993,207.75,203.899994,207.479996,205.285416,23323000
4/24/2019,207.360001,208.479996,207.050003,207.160004,204.968811,17540600
4/25/2019,206.830002,207.759995,205.119995,205.279999,203.108704,18543200
4/26/2019,204.899994,205,202.119995,204.300003,202.139069,18649100
4/29/2019,204.399994,205.970001,203.860001,204.610001,202.445786,22204700
4/30/2019,203.059998,203.399994,199.110001,200.669998,198.547455,46534900
5/1/2019,209.880005,215.309998,209.229996,210.520004,208.293274,64827300
5/2/2019,209.839996,212.649994,208.130005,209.149994,206.937759,31996300
5/3/2019,210.889999,211.839996,210.229996,211.75,209.510269,20892400
5/6/2019,204.289993,208.839996,203.5,208.479996,206.274857,32443100
5/7/2019,205.880005,207.419998,200.830002,202.860001,200.714294,38763700
5/8/2019,201.899994,205.339996,201.75,202.899994,200.75386,26339500
5/9/2019,200.399994,201.679993,196.660004,200.720001,198.596924,34908600
5/10/2019,197.419998,198.850006,192.770004,197.179993,195.845673,41208700
5/13/2019,187.710007,189.479996,182.850006,185.720001,184.463242,57430600
5/14/2019,186.410004,189.699997,185.410004,188.660004,187.383331,36529700
